13:28:32,53.9466996,-1.0270454,-12.29,0.0,20.97,0.6
13:28:33,53.9467004,-1.0270563,-12.37,0.0,21.12,0.6
13:28:33,53.9467004,-1.0270563,-12.37,0.0,21.12,0.6
13:28:33,53.9467004,-1.0270563,-12.37,0.0,21.12,0.6
13:28:34,53.9467046,-1.0270576,-12.22,0.0,21.11,0.61
13:28:35,53.9467071,-1.0270576,-12.46,0.0,20.98,0.61
13:28:36,53.9467079,-1.0270551,-12.44,0.0,21.01,0.6
13:28:36,53.9467079,-1.0270551,-12.44,0.0,21.01,0.6
13:28:36,53.9467079,-1.0270551,-12.44,0.0,21.01,0.6
13:28:37,53.9467108,-1.0270568,-12.18,2.63,21.12,0.6
13:28:38,53.946711,-1.0270559,-12.37,0.19,21.15,0.6
13:28:39,53.9467099,-1.027056,-12.04,0.0,20.98,0.6
13:28:40,53.9467106,-1.027056,-12.01,0.0,21.07,0.61
13:28:40,53.9467106,-1.027056,-12.01,0.0,21.07,0.61
13:28:41,53.946711,-1.0270557,-12.2,0.0,21.11,0.6
13:28:42,53.9467104,-1.0270539,-12.3,1.14,21.01,0.6
13:28:43,53.9467091,-1.0270524,-12.06,0.0,21.05,0.59
13:28:44,53.9467074,-1.0270518,-12.21,0.38,21.09,0.59
13:28:45,53.9467065,-1.0270525,-12.08,0.0,20.98,0.59
13:28:46,53.9467034,-1.0270515,-12.12,1.12,21.05,0.61
13:28:46,53.9467034,-1.0270515,-12.12,1.12,21.05,0.61
13:28:46,53.9467034,-1.0270515,-12.12,1.12,21.05,0.61
13:28:47,53.9467019,-1.0270515,-12.21,0.0,21.02,0.63
13:28:48,53.9466994,-1.0270511,-12.21,0.0,21.0,0.63
13:28:49,53.9466974,-1.0270512,-12.09,2.06,21.15,0.63
13:28:50,53.9466958,-1.0270509,-12.42,0.0,21.08,0.63
13:28:50,53.9466958,-1.0270509,-12.42,0.0,21.08,0.63
13:28:51,53.9466954,-1.02705,-12.22,0.0,21.1,0.6
13:28:51,53.9466954,-1.02705,-12.22,0.0,21.1,0.6
13:32:30,53.9466044,-1.0270538,-12.94,368.97,21.14,0.55
13:32:30,53.9466044,-1.0270538,-12.94,368.97,21.14,0.55
13:32:32,53.9466041,-1.027054,-13.38,380.97,21.01,0.55
13:32:33,53.9466038,-1.027054,-13.12,374.35,21.11,0.55
13:32:34,53.9466038,-1.027054,-12.92,365.31,21.17,0.55
13:32:35,53.9466039,-1.0270542,-12.78,358.74,21.14,0.55
13:32:36,53.9466037,-1.0270542,-12.78,362.45,21.11,0.55
13:32:37,53.9466039,-1.0270543,-12.75,365.63,21.09,0.55
13:32:38,53.9466039,-1.0270543,-13.07,367.28,21.15,0.55
13:32:39,53.9466038,-1.0270543,-12.76,361.38,21.06,0.54
13:32:40,53.9466036,-1.0270543,-13.08,372.92,21.14,0.55
13:32:40,53.9466036,-1.0270543,-13.08,372.92,21.14,0.55
13:32:41,53.9466035,-1.0270542,-12.89,365.95,21.02,0.54
13:32:42,53.946603,-1.0270544,-12.76,357.86,21.03,0.55
13:32:43,53.9466024,-1.0270544,-12.79,356.24,21.02,0.54
13:32:44,53.946602,-1.0270541,-12.66,360.13,21.08,0.54
